"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Redbridge","E09000026","Jobs density","Value",0.48,"Normal Value"
"2015","Richmond upon Thames","E09000027","Jobs density","Value",0.81,"Normal Value"
"2015","Sutton","E09000029","Jobs density","Value",0.62,"Normal Value"
"2015","Waltham Forest","E09000031","Jobs density","Value",0.46,"Normal Value"
"2015","Bracknell Forest","E06000036","Jobs density","Value",0.91,"Normal Value"
"2015","Brighton and Hove","E06000043","Jobs density","Value",0.82,"Normal Value"
"2015","Isle of Wight","E06000046","Jobs density","Value",0.77,"Normal Value"
"2015","Medway","E06000035","Jobs density","Value",0.57,"Normal Value"
"2015","Milton Keynes","E06000042","Jobs density","Value",1.12,"Normal Value"
"2015","Portsmouth","E06000044","Jobs density","Value",0.85,"Normal Value"
"2015","Reading","E06000038","Jobs density","Value",1.08,"Normal Value"
"2015","Slough","E06000039","Jobs density","Value",0.93,"Normal Value"
"2015","Southampton","E06000045","Jobs density","Value",0.78,"Normal Value"
"2015","West Berkshire","E06000037","Jobs density","Value",1.11,"Normal Value"
"2015","Windsor and Maidenhead","E06000040","Jobs density","Value",1.00,"Normal Value"
"2015","Wokingham","E06000041","Jobs density","Value",0.90,"Normal Value"
"2015","Buckinghamshire","E10000002","Jobs density","Value",0.84,"Normal Value"
"2015","East Sussex","E10000011","Jobs density","Value",0.75,"Normal Value"
"2015","Hampshire","E10000014","Jobs density","Value",0.89,"Normal Value"
"2015","Kent","E10000016","Jobs density","Value",0.78,"Normal Value"
"2015","Oxfordshire","E10000025","Jobs density","Value",0.97,"Normal Value"
"2015","Surrey","E10000030","Jobs density","Value",0.92,"Normal Value"
"2015","West Sussex","E10000032","Jobs density","Value",0.89,"Normal Value"
"2015","Bath and North East Somerset","E06000022","Jobs density","Value",0.85,"Normal Value"
"2015","Bournemouth","E06000028","Jobs density","Value",0.74,"Normal Value"
"2015","Bristol, City of","E06000023","Jobs density","Value",0.98,"Normal Value"
"2015","Cornwall","E06000052","Jobs density","Value",0.82,"Normal Value"
"2015","Isles of Scilly","E06000053","Jobs density","Value",2.03,"Normal Value"
"2015","North Somerset","E06000024","Jobs density","Value",0.76,"Normal Value"
"2015","Plymouth","E06000026","Jobs density","Value",0.79,"Normal Value"
"2015","Poole","E06000029","Jobs density","Value",0.98,"Normal Value"
"2015","South Gloucestershire","E06000025","Jobs density","Value",0.92,"Normal Value"
"2015","Swindon","E06000030","Jobs density","Value",0.90,"Normal Value"
"2015","Torbay","E06000027","Jobs density","Value",0.75,"Normal Value"
"2015","Wiltshire","E06000054","Jobs density","Value",0.86,"Normal Value"
"2015","Devon","E10000008","Jobs density","Value",0.90,"Normal Value"
"2015","Dorset","E10000009","Jobs density","Value",0.84,"Normal Value"
"2015","Gloucestershire","E10000013","Jobs density","Value",0.89,"Normal Value"
"2015","Somerset","E10000027","Jobs density","Value",0.85,"Normal Value"
"2015","Anglesey","W06000001","Jobs density","Value",0.64,"Normal Value"
"2015","Gwynedd","W06000002","Jobs density","Value",0.89,"Normal Value"
"2015","Conwy","W06000003","Jobs density","Value",0.77,"Normal Value"
"2015","Denbighshire","W06000004","Jobs density","Value",0.80,"Normal Value"
"2015","Flintshire","W06000005","Jobs density","Value",0.86,"Normal Value"
"2015","Wrexham","W06000006","Jobs density","Value",0.72,"Normal Value"
"2015","Powys","W06000023","Jobs density","Value",0.90,"Normal Value"
"2015","Ceredigion","W06000008","Jobs density","Value",0.79,"Normal Value"
"2015","Pembrokeshire","W06000009","Jobs density","Value",0.76,"Normal Value"
"2015","Carmarthenshire","W06000010","Jobs density","Value",0.73,"Normal Value"
"2015","Swansea","W06000011","Jobs density","Value",0.78,"Normal Value"
"2015","Neath Port Talbot","W06000012","Jobs density","Value",0.60,"Normal Value"
"2015","Bridgend","W06000013","Jobs density","Value",0.76,"Normal Value"
"2015","The Vale of Glamorgan","W06000014","Jobs density","Value",0.61,"Normal Value"
"2015","Cardiff","W06000015","Jobs density","Value",0.92,"Normal Value"
"2015","Rhondda, Cynon, Taff","W06000016","Jobs density","Value",0.58,"Normal Value"
"2015","Merthyr Tydfil","W06000024","Jobs density","Value",0.62,"Normal Value"
"2015","Caerphilly","W06000018","Jobs density","Value",0.55,"Normal Value"
"2015","Blaenau Gwent","W06000019","Jobs density","Value",0.48,"Normal Value"
"2015","Torfaen","W06000020","Jobs density","Value",0.67,"Normal Value"
"2015","Monmouthshire","W06000021","Jobs density","Value",0.78,"Normal Value"
"2015","Newport","W06000022","Jobs density","Value",0.84,"Normal Value"
"2015","Aberdeen City","S12000033","Jobs density","Value",1.22,"Normal Value"
"2015","Aberdeenshire","S12000034","Jobs density","Value",0.72,"Normal Value"
"2015","Angus","S12000041","Jobs density","Value",0.59,"Normal Value"
"2015","Argyll and Bute","S12000035","Jobs density","Value",0.89,"Normal Value"
"2015","Clackmannanshire","S12000005","Jobs density","Value",0.50,"Normal Value"
"2015","Dumfries and Galloway","S12000006","Jobs density","Value",0.79,"Normal Value"
"2015","Dundee City","S12000042","Jobs density","Value",0.81,"Normal Value"
"2015","East Ayrshire","S12000008","Jobs density","Value",0.59,"Normal Value"
"2015","East Dunbartonshire","S12000045","Jobs density","Value",0.46,"Normal Value"
"2015","East Lothian","S12000010","Jobs density","Value",0.54,"Normal Value"
"2015","East Renfrewshire","S12000011","Jobs density","Value",0.44,"Normal Value"
"2015","Edinburgh, City of","S12000036","Jobs density","Value",1.02,"Normal Value"
"2015","Eilean Siar","S12000013","Jobs density","Value",0.80,"Normal Value"
"2015","Falkirk","S12000014","Jobs density","Value",0.70,"Normal Value"
"2015","Fife","S12000015","Jobs density","Value",0.65,"Normal Value"
"2015","Glasgow City","S12000046","Jobs density","Value",1.04,"Normal Value"
"2015","Highland","S12000017","Jobs density","Value",0.87,"Normal Value"
"2015","Inverclyde","S12000018","Jobs density","Value",0.66,"Normal Value"
"2015","Midlothian","S12000019","Jobs density","Value",0.64,"Normal Value"
"2015","Moray","S12000020","Jobs density","Value",0.70,"Normal Value"
"2015","North Ayrshire","S12000021","Jobs density","Value",0.55,"Normal Value"
"2015","North Lanarkshire","S12000044","Jobs density","Value",0.65,"Normal Value"
"2015","Orkney Islands","S12000023","Jobs density","Value",0.91,"Normal Value"
"2015","Perth and Kinross","S12000024","Jobs density","Value",0.79,"Normal Value"
"2015","Renfrewshire","S12000038","Jobs density","Value",0.81,"Normal Value"
"2015","Scottish Borders","S12000026","Jobs density","Value",0.73,"Normal Value"
"2015","Shetland Islands","S12000027","Jobs density","Value",1.15,"Normal Value"
"2015","South Ayrshire","S12000028","Jobs density","Value",0.77,"Normal Value"
"2015","South Lanarkshire","S12000029","Jobs density","Value",0.65,"Normal Value"
"2015","Stirling","S12000030","Jobs density","Value",0.82,"Normal Value"
"2015","West Dunbartonshire","S12000039","Jobs density","Value",0.58,"Normal Value"
"2015","West Lothian","S12000040","Jobs density","Value",0.72,"Normal Value"
"2015","Antrim","95T","Jobs density","Value",,"These figures are missing."
"2015","Ards","95X","Jobs density","Value",,"These figures are missing."
"2015","Armagh","95O","Jobs density","Value",,"These figures are missing."
"2015","Ballymena","95G","Jobs density","Value",,"These figures are missing."
"2015","Ballymoney","95D","Jobs density","Value",,"These figures are missing."
"2015","Banbridge","95Q","Jobs density","Value",,"These figures are missing."
"2015","Belfast","95Z","Jobs density","Value",,"These figures are missing."
"2015","Carrickfergus","95V","Jobs density","Value",,"These figures are missing."
"2015","Castlereagh","95Y","Jobs density","Value",,"These figures are missing."
"2015","Coleraine","95C","Jobs density","Value",,"These figures are missing."
