"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"May 2017","Bristol, City of","E06000023","Value","total","Total",19450,"Normal Value"
"May 2017","Cornwall","E06000052","Value","total","Total",21310,"Normal Value"
"May 2017","Isles of Scilly","E06000053","Value","total","Total",20,"Normal Value"
"May 2017","North Somerset","E06000024","Value","total","Total",7390,"Normal Value"
"May 2017","Plymouth","E06000026","Value","total","Total",13040,"Normal Value"
"May 2017","Poole","E06000029","Value","total","Total",4300,"Normal Value"
"May 2017","South Gloucestershire","E06000025","Value","total","Total",6410,"Normal Value"
"May 2017","Swindon","E06000030","Value","total","Total",6090,"Normal Value"
"May 2017","Torbay","E06000027","Value","total","Total",7180,"Normal Value"
"May 2017","Wiltshire","E06000054","Value","total","Total",11440,"Normal Value"
"May 2017","Devon","E10000008","Value","total","Total",23770,"Normal Value"
"May 2017","Dorset","E10000009","Value","total","Total",11490,"Normal Value"
"May 2017","Gloucestershire","E10000013","Value","total","Total",18030,"Normal Value"
"May 2017","Somerset","E10000027","Value","total","Total",15320,"Normal Value"
"May 2017","Anglesey","W06000001","Value","total","Total",2910,"Normal Value"
"May 2017","Gwynedd","W06000002","Value","total","Total",4490,"Normal Value"
"May 2017","Conwy","W06000003","Value","total","Total",5360,"Normal Value"
"May 2017","Denbighshire","W06000004","Value","total","Total",5020,"Normal Value"
"May 2017","Flintshire","W06000005","Value","total","Total",5450,"Normal Value"
"May 2017","Wrexham","W06000006","Value","total","Total",6210,"Normal Value"
"May 2017","Powys","W06000023","Value","total","Total",4880,"Normal Value"
"May 2017","Ceredigion","W06000008","Value","total","Total",2910,"Normal Value"
"May 2017","Pembrokeshire","W06000009","Value","total","Total",5340,"Normal Value"
"May 2017","Carmarthenshire","W06000010","Value","total","Total",9710,"Normal Value"
"May 2017","Swansea","W06000011","Value","total","Total",13820,"Normal Value"
"May 2017","Neath Port Talbot","W06000012","Value","total","Total",10240,"Normal Value"
"May 2017","Bridgend","W06000013","Value","total","Total",8110,"Normal Value"
"May 2017","The Vale of Glamorgan","W06000014","Value","total","Total",5270,"Normal Value"
"May 2017","Cardiff","W06000015","Value","total","Total",16780,"Normal Value"
"May 2017","Rhondda, Cynon, Taff","W06000016","Value","total","Total",16080,"Normal Value"
"May 2017","Merthyr Tydfil","W06000024","Value","total","Total",4210,"Normal Value"
"May 2017","Caerphilly","W06000018","Value","total","Total",10940,"Normal Value"
"May 2017","Blaenau Gwent","W06000019","Value","total","Total",5140,"Normal Value"
"May 2017","Torfaen","W06000020","Value","total","Total",5370,"Normal Value"
"May 2017","Monmouthshire","W06000021","Value","total","Total",3150,"Normal Value"
"May 2017","Newport","W06000022","Value","total","Total",7760,"Normal Value"
"May 2017","Aberdeen City","S12000033","Value","total","Total",8300,"Normal Value"
"May 2017","Aberdeenshire","S12000034","Value","total","Total",6890,"Normal Value"
"May 2017","Angus","S12000041","Value","total","Total",4680,"Normal Value"
"May 2017","Argyll and Bute","S12000035","Value","total","Total",3480,"Normal Value"
"May 2017","Clackmannanshire","S12000005","Value","total","Total",2950,"Normal Value"
"May 2017","Dumfries and Galloway","S12000006","Value","total","Total",6750,"Normal Value"
"May 2017","Dundee City","S12000042","Value","total","Total",9750,"Normal Value"
"May 2017","East Ayrshire","S12000008","Value","total","Total",6890,"Normal Value"
"May 2017","East Dunbartonshire","S12000045","Value","total","Total",3120,"Normal Value"
"May 2017","East Lothian","S12000010","Value","total","Total",3180,"Normal Value"
"May 2017","East Renfrewshire","S12000011","Value","total","Total",2760,"Normal Value"
"May 2017","Edinburgh, City of","S12000036","Value","total","Total",19470,"Normal Value"
"May 2017","Eilean Siar","S12000013","Value","total","Total",970,"Normal Value"
"May 2017","Falkirk","S12000014","Value","total","Total",7470,"Normal Value"
"May 2017","Fife","S12000015","Value","total","Total",17440,"Normal Value"
"May 2017","Glasgow City","S12000046","Value","total","Total",48140,"Normal Value"
"May 2017","Highland","S12000017","Value","total","Total",8270,"Normal Value"
"May 2017","Inverclyde","S12000018","Value","total","Total",5120,"Normal Value"
"May 2017","Midlothian","S12000019","Value","total","Total",3740,"Normal Value"
"May 2017","Moray","S12000020","Value","total","Total",3230,"Normal Value"
"May 2017","North Ayrshire","S12000021","Value","total","Total",8420,"Normal Value"
"May 2017","North Lanarkshire","S12000044","Value","total","Total",20710,"Normal Value"
"May 2017","Orkney Islands","S12000023","Value","total","Total",690,"Normal Value"
"May 2017","Perth and Kinross","S12000024","Value","total","Total",5240,"Normal Value"
"May 2017","Renfrewshire","S12000038","Value","total","Total",9750,"Normal Value"
"May 2017","Scottish Borders","S12000026","Value","total","Total",4350,"Normal Value"
"May 2017","Shetland Islands","S12000027","Value","total","Total",680,"Normal Value"
"May 2017","South Ayrshire","S12000028","Value","total","Total",5520,"Normal Value"
"May 2017","South Lanarkshire","S12000029","Value","total","Total",16790,"Normal Value"
"May 2017","Stirling","S12000030","Value","total","Total",3440,"Normal Value"
"May 2017","West Dunbartonshire","S12000039","Value","total","Total",6050,"Normal Value"
"May 2017","West Lothian","S12000040","Value","total","Total",8970,"Normal Value"
"August 2017","Darlington","E06000005","Value","total","Total",4280,"Normal Value"
"August 2017","County Durham","E06000047","Value","total","Total",26200,"Normal Value"
"August 2017","Hartlepool","E06000001","Value","total","Total",4520,"Normal Value"
"August 2017","Middlesbrough","E06000002","Value","total","Total",8640,"Normal Value"
"August 2017","Northumberland","E06000057","Value","total","Total",11710,"Normal Value"
"August 2017","Redcar and Cleveland","E06000003","Value","total","Total",6910,"Normal Value"
"August 2017","Stockton-on-Tees","E06000004","Value","total","Total",8210,"Normal Value"
"August 2017","Gateshead","E08000037","Value","total","Total",9730,"Normal Value"
"August 2017","Newcastle upon Tyne","E08000021","Value","total","Total",12080,"Normal Value"
"August 2017","North Tyneside","E08000022","Value","total","Total",8430,"Normal Value"
"August 2017","South Tyneside","E08000023","Value","total","Total",7960,"Normal Value"
"August 2017","Sunderland","E08000024","Value","total","Total",15630,"Normal Value"
"August 2017","Blackburn with Darwen","E06000008","Value","total","Total",8340,"Normal Value"
"August 2017","Blackpool","E06000009","Value","total","Total",10210,"Normal Value"
"August 2017","Cheshire East","E06000049","Value","total","Total",10070,"Normal Value"
"August 2017","Cheshire West and Chester","E06000050","Value","total","Total",11350,"Normal Value"
"August 2017","Halton","E06000006","Value","total","Total",5880,"Normal Value"
"August 2017","Warrington","E06000007","Value","total","Total",6500,"Normal Value"
"August 2017","Cumbria","E10000006","Value","total","Total",18070,"Normal Value"
"August 2017","Bolton","E08000001","Value","total","Total",13440,"Normal Value"
"August 2017","Bury","E08000002","Value","total","Total",7940,"Normal Value"
"August 2017","Manchester","E08000003","Value","total","Total",29960,"Normal Value"
"August 2017","Oldham","E08000004","Value","total","Total",10240,"Normal Value"
"August 2017","Rochdale","E08000005","Value","total","Total",11880,"Normal Value"
"August 2017","Salford","E08000006","Value","total","Total",13560,"Normal Value"
"August 2017","Stockport","E08000007","Value","total","Total",10550,"Normal Value"
"August 2017","Tameside","E08000008","Value","total","Total",11450,"Normal Value"
"August 2017","Trafford","E08000009","Value","total","Total",7240,"Normal Value"
"August 2017","Wigan","E08000010","Value","total","Total",14300,"Normal Value"
"August 2017","Lancashire","E10000017","Value","total","Total",46410,"Normal Value"
"August 2017","Knowsley","E08000011","Value","total","Total",10640,"Normal Value"
"August 2017","Liverpool","E08000012","Value","total","Total",33530,"Normal Value"
"August 2017","Sefton","E08000014","Value","total","Total",13950,"Normal Value"
"August 2017","St. Helens","E08000013","Value","total","Total",10070,"Normal Value"
"August 2017","Wirral","E08000015","Value","total","Total",18340,"Normal Value"
"August 2017","East Riding of Yorkshire","E06000011","Value","total","Total",9690,"Normal Value"
