"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","South Gloucestershire","E06000025","Total jobs","Value",159000,"Normal Value"
"2015","Swindon","E06000030","Total jobs","Value",126000,"Normal Value"
"2015","Torbay","E06000027","Total jobs","Value",58000,"Normal Value"
"2015","Wiltshire","E06000054","Total jobs","Value",254000,"Normal Value"
"2015","Devon","E10000008","Total jobs","Value",414000,"Normal Value"
"2015","Dorset","E10000009","Total jobs","Value",197000,"Normal Value"
"2015","Gloucestershire","E10000013","Total jobs","Value",340000,"Normal Value"
"2015","Somerset","E10000027","Total jobs","Value",272000,"Normal Value"
"2015","Anglesey","W06000001","Total jobs","Value",26000,"Normal Value"
"2015","Gwynedd","W06000002","Total jobs","Value",67000,"Normal Value"
"2015","Conwy","W06000003","Total jobs","Value",51000,"Normal Value"
"2015","Denbighshire","W06000004","Total jobs","Value",45000,"Normal Value"
"2015","Flintshire","W06000005","Total jobs","Value",82000,"Normal Value"
"2015","Wrexham","W06000006","Total jobs","Value",61000,"Normal Value"
"2015","Powys","W06000023","Total jobs","Value",69000,"Normal Value"
"2015","Ceredigion","W06000008","Total jobs","Value",37000,"Normal Value"
"2015","Pembrokeshire","W06000009","Total jobs","Value",54000,"Normal Value"
"2015","Carmarthenshire","W06000010","Total jobs","Value",81000,"Normal Value"
"2015","Swansea","W06000011","Total jobs","Value",120000,"Normal Value"
"2015","Neath Port Talbot","W06000012","Total jobs","Value",53000,"Normal Value"
"2015","Bridgend","W06000013","Total jobs","Value",67000,"Normal Value"
"2015","The Vale of Glamorgan","W06000014","Total jobs","Value",47000,"Normal Value"
"2015","Cardiff","W06000015","Total jobs","Value",223000,"Normal Value"
"2015","Rhondda, Cynon, Taff","W06000016","Total jobs","Value",86000,"Normal Value"
"2015","Merthyr Tydfil","W06000024","Total jobs","Value",23000,"Normal Value"
"2015","Caerphilly","W06000018","Total jobs","Value",62000,"Normal Value"
"2015","Blaenau Gwent","W06000019","Total jobs","Value",21000,"Normal Value"
"2015","Torfaen","W06000020","Total jobs","Value",38000,"Normal Value"
"2015","Monmouthshire","W06000021","Total jobs","Value",43000,"Normal Value"
"2015","Newport","W06000022","Total jobs","Value",77000,"Normal Value"
"2015","Aberdeen City","S12000033","Total jobs","Value",197000,"Normal Value"
"2015","Aberdeenshire","S12000034","Total jobs","Value",120000,"Normal Value"
"2015","Angus","S12000041","Total jobs","Value",42000,"Normal Value"
"2015","Argyll and Bute","S12000035","Total jobs","Value",46000,"Normal Value"
"2015","Clackmannanshire","S12000005","Total jobs","Value",16000,"Normal Value"
"2015","Dumfries and Galloway","S12000006","Total jobs","Value",71000,"Normal Value"
"2015","Dundee City","S12000042","Total jobs","Value",80000,"Normal Value"
"2015","East Ayrshire","S12000008","Total jobs","Value",45000,"Normal Value"
"2015","East Dunbartonshire","S12000045","Total jobs","Value",30000,"Normal Value"
"2015","East Lothian","S12000010","Total jobs","Value",35000,"Normal Value"
"2015","East Renfrewshire","S12000011","Total jobs","Value",25000,"Normal Value"
"2015","Edinburgh, City of","S12000036","Total jobs","Value",354000,"Normal Value"
"2015","Eilean Siar","S12000013","Total jobs","Value",13000,"Normal Value"
"2015","Falkirk","S12000014","Total jobs","Value",71000,"Normal Value"
"2015","Fife","S12000015","Total jobs","Value",151000,"Normal Value"
"2015","Glasgow City","S12000046","Total jobs","Value",443000,"Normal Value"
"2015","Highland","S12000017","Total jobs","Value",126000,"Normal Value"
"2015","Inverclyde","S12000018","Total jobs","Value",33000,"Normal Value"
"2015","Midlothian","S12000019","Total jobs","Value",35000,"Normal Value"
