ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,"4,280",GLA,"2,011",133,"4,630","1,777","2,780","1,706","2,780",TRUE
Railplan,"4,281",GLA,"2,011","1,067","3,494","1,341","2,097","1,287","2,098",TRUE
Railplan,"4,282",GLA,"2,011",737,"3,866","1,485","2,322","1,423","2,322",TRUE
Railplan,"4,283",GLA,"2,011","2,678","1,623",610,993,652,993,TRUE
Railplan,"4,284",GLA,"2,011","1,123","2,756","1,031","1,702","1,132","1,702",TRUE
Railplan,"4,285",GLA,"2,011",941,"3,835","1,463","2,354","1,454","2,354",TRUE
Railplan,"4,286",GLA,"2,011",268,"5,115","1,950","3,140","1,947","3,140",TRUE
Railplan,"4,287",GLA,"2,011",373,"5,090","1,964","3,109","1,893","3,109",TRUE
Railplan,"4,288",GLA,"2,011",941,"3,559","1,374","2,181","1,333","2,181",TRUE
Railplan,"4,289",GLA,"2,011",558,"4,044","1,570","2,481","1,513","2,480",TRUE
Railplan,"4,290",GLA,"2,011",405,"5,895","2,286","3,618","2,204","3,617",TRUE
Railplan,"4,291",GLA,"2,011",862,"4,445","1,733","2,700","1,621","2,700",TRUE
Railplan,"4,292",GLA,"2,011",224,"4,356","1,692","2,615","1,619","2,615",TRUE
Railplan,"4,293",GLA,"2,011",786,"4,692","1,787","2,875","1,726","2,875",TRUE
Railplan,"4,294",GLA,"2,011",800,"3,524","1,353","2,115","1,298","2,116",TRUE
Railplan,"4,295",GLA,"2,011","1,425","4,261","1,671","2,558","1,597","2,559",TRUE
Railplan,"4,296",GLA,"2,011","1,958","3,489","1,326","2,194","1,490","2,194",TRUE
Railplan,"4,297",GLA,"2,011","1,532","3,800","1,445","2,386","1,618","2,386",TRUE
Railplan,"4,298",GLA,"2,011",182,"3,373","1,321","1,981","1,266","1,981",TRUE
Railplan,"4,299",GLA,"2,011",744,"2,551","1,019","1,429",870,"1,429",TRUE
Railplan,"4,303",GLA,"2,011","2,376",829,371,580,418,580,TRUE
Railplan,"4,350",GLA,"2,011",117,"1,258",563,883,637,883,TRUE
Railplan,"4,351",GLA,"2,011",173,314,133,209,155,209,TRUE
Railplan,"4,355",GLA,"2,011",477,"4,538","1,875","2,765","2,131","2,765",TRUE
Railplan,"4,356",GLA,"2,011","1,153","3,931","1,590","2,331","1,758","2,330",TRUE
Railplan,"4,357",GLA,"2,011","1,102","4,265","1,693","2,564","1,963","2,564",TRUE
Railplan,"4,358",GLA,"2,011","1,328","4,299","1,807","2,626","1,817","2,626",TRUE
Railplan,"4,359",GLA,"2,011","2,305","3,509","1,504","2,155","1,440","2,155",TRUE
Railplan,"4,360",GLA,"2,011","2,254","3,546","1,519","2,177","1,456","2,178",TRUE
